direction,diselPrice,gasolinePrice,lpgPrice,lpgYn,oilCompany,serviceAreaCode,telNo,routeCode,routeName,serviceAreaCode2,serviceAreaName,svarAddr
서울,"1,499원","1,665원","1,048원",Y,AD,B00118,043-231-8833,0010,경부선,000020,청주(서울)주유소,충북 청원군 옥산면 장남리284-16
서울,"1,492원","1,665원","1,099원",Y,AD,B00150,054-431-4477,0010,경부선,000307,김천(서울)주유소,경북 김천시 농소면신촌리 728-1
부산,"1,509원","1,663원",X,N,AD,B00042,061-772-2106,0100,남해선,000079,섬진강(부산)주유소,전남 광양시 진월면신아리 1192-3
부산,"1,509원","1,663원",989원,Y,AD,B00067,055-854-8622,0100,남해선,000075,사천(부산)주유소,경남 사천시 곤양면묵곡리 산53-1
부산,"1,503원","1,658원",888원,Y,S,B00069,055-342-8770,0100,남해선,000065,진영(부산)주유소,경남 김해시 진영읍우동리 377-2
부산,"1,505원","1,665원","1,069원",Y,AD,B00163,055-759-1028,0100,남해선,000346,진주(부산)주유소,경남 진주시 호탄동382 외 62필지
부산,"1,504원","1,663원","1,049원",Y,AD,B00164,055-583-9341,0100,남해선,000345,함안(부산)주유소,경남 함안군 군북면현포로 205
부산,"1,501원","1,647원","1,058원",Y,AD,B00181,070-4325-8800,0100,남해선,000403,보성녹차(영암)주유소,전남 보성군 미력면화방리 산196-7
순천,"1,509원","1,663원",X,N,AD,B00041,061-772-4163,0100,남해선,000080,섬진강(순천)주유소,전남 광양시 진월면신아리 220-1
순천,"1,509원","1,663원",989원,Y,AD,B00066,055-854-6732,0100,남해선,000076,사천(순천)주유소,경남 사천시 곤양면묵곡리 산171-31
순천,"1,508원","1,657원","1,068원",Y,AD,B00068,055-342-0878,0100,남해선,000066,진영(순천)주유소,경남 김해시 진영읍우동리 300-3
순천,"1,504원","1,663원","1,036원",Y,AD,B00106,055-762-2048,0100,남해선,000072,문산(순천)주유소,경상남도 진주시 문산읍소문리 969
순천,"1,501원","1,647원","1,068원",Y,AD,B00165,055-582-6321,0100,남해선,000349,함안(순천)주유소,경남 함안군 군북면현포로 205-1
순천,"1,501원","1,647원","1,058원",Y,AD,B00182,070-4325-8805,0100,남해선,000402,보성녹차(순천)주유소,전남 보성군 겸백면남해고속도로 70번지
대구,"1,501원","1,647원","1,058원",Y,AD,B00143,061-324-8864,0121,무안광주선,000271,함평나비(광주)주유소,전남 함평군 엄다면무안광주고속도로 12-1
무안,"1,501원","1,647원","1,058원",Y,AD,B00142,061-323-8867,0121,무안광주선,000272,함평나비(무안)주유소,전남 함평군 엄다면성천리(무안광주고속도로)
대구,"1,501원","1,647원","1,068원",Y,AD,B00044,063-636-2721,0122,광주대구선,000089,지리산(대구)주유소,전북 남원시 아영면아곡리 798
대구,"1,502원","1,672원",X,N,AD,B00116,055-941-0863,0122,광주대구선,000082,거창(대구)주유소,경남 거창군 가조면 도리181
대구,"1,627원","1,799원",X,N,AD,B00191,063-653-3068,0122,광주대구선,000417,강천산(대구)주유소,전북 순창군 순창읍88올림픽고속도로 22
대구,"1,493원","1,669원","1,000원",Y,AD,B00198,070-4304-0630,0122,광주대구선,000448,논공(대구)주유소,대구 달성군 논공읍88올림픽고속도로 176
무안,"1,501원","1,647원","1,068원",Y,AD,B00045,063-636-2722,0122,광주대구선,000340,지리산(광주)주유소,전북 남원시 아영면아곡리 산 83
무안,"1,502원","1,672원","1,027원",Y,AD,B00117,055-941-0861,0122,광주대구선,000085,거창(광주)주유소,경남 거창군 가조면 도리181
무안,"1,627원","1,799원",X,N,AD,B00195,063-653-4171,0122,광주대구선,000437,강천산(광주)주유소,전북 순창군 순창읍88올림픽고속도록 23
무안,"1,493원","1,669원","1,000원",Y,AD,B00199,070-4304-0610,0122,광주대구선,000449,논공(광주)주유소,대구 달성군 논공읍88올림픽고속도로 175
목포,"1,501원","1,647원","1,016원",Y,AD,B00011,031-353-8015,0150,서해안선,000095,화성(목포)주유소,경기도 화성군 팔탄면덕촌리 102-6
목포,"1,796원","1,896원","1,129원",Y,HD,B00084,041-357-8141,0150,서해안선,000369,행담도(목포)주유소,충남 당진군 신평면매산리(서해안고속도로) 275
목포,"1,589원","1,724원",998원,Y,SK,B00086,041-931-5871,0150,서해안선,000105,대천(목포)주유소,충남 보령시 주교면주교리 933-5
목포,"1,519원","1,699원","1,059원",Y,AD,B00096,041-688-8817,0150,서해안선,000335,서산(목포)주유소,충남 서산시 해미면삼송리 119
목포,"1,505원","1,669원","1,090원",Y,AD,B00098,063-453-5763,0150,서해안선,000109,군산(목포)주유소,전라북도 군산시 성산면신곡리
목포,"1,505원","1,669원",X,N,AD,B00100,061-324-4136,0150,서해안선,000116,함평천지(목포)주유소,전라남도 함평군 함평읍장교리 산112-12
목포,"1,498원","1,637원","1,016원",Y,AD,B00104,063-561-6318,0150,서해안선,000111,고창고인돌(목포)주유소,전북 고창군 신림면벽송리 산103-1
목포,"1,499원","1,669원",990원,Y,AD,B00129,041-642-1145,0150,서해안선,000256,홍성(목포)주유소,충남 홍성군 은하면금국리(서해안고속도로)
목포,"1,501원","1,647원","1,016원",Y,AD,B00139,041-952-9738,0150,서해안선,000264,서천(목포)주유소,충남 서천군 비인면성산리 387-10
목포,"1,498원","1,647원",X,N,AD,B00234,063-776-8088,0150,서해안선,000588,부안고려청자(목포)주유소,전북 부안군 주산면 서해안고속도로103
시흥,"1,501원","1,647원","1,016원",Y,AD,B00010,031-353-8148,0150,서해안선,000094,화성(서울)주유소,경기도 화성군 팔탄면덕천리 253
시흥,"1,589원","1,724원",998원,Y,SK,B00085,041-931-5371,0150,서해안선,000104,대천(서울)주유소,충남 보령시 주교면주교리 904-34
시흥,"1,519원","1,699원","1,059원",Y,AD,B00095,041-688-7717,0150,서해안선,000101,서산(서울)주유소,충청남도 서산시 해미면삼송리 236-11
시흥,"1,505원","1,674원","1,090원",Y,AD,B00097,063-453-5163,0150,서해안선,000107,군산(서울)주유소,전라북도 군산시 나포면서포리
시흥,"1,505원","1,669원","1,029원",Y,AD,B00099,061-322-4409,0150,서해안선,000114,함평천지(서울)주유소,전라남도 함평군 손불면죽암리 29-1
시흥,"1,498원","1,637원","1,016원",Y,AD,B00103,063-561-0962,0150,서해안선,000113,고창고인돌(서울)주유소,전북 고창군 고창읍신월리 66-1
시흥,"1,507원","1,675원",990원,Y,AD,B00128,041-642-1178,0150,서해안선,000255,홍성(서울)주유소,충남 홍성군 은하면금국리(서해안고속도로)
시흥,"1,506원","1,678원","1,025원",Y,AD,B00138,041-952-9735,0150,서해안선,000263,서천(서울)주유소,충남 서천군 비인면성산리 22-4
시흥,X,X,X,N,SK,B00157,031-411-0592,0150,서해안선,000327,목감(서울)주유소,경기 시흥시 목감동112-5 외9필지
시흥,"1,796원","1,896원","1,129원",Y,HD,B00176,041-357-8141,0150,서해안선,000368,행담도(서울)주유소,충남 당진군 신평면매산리 503-2
시흥,"1,508원","1,672원",X,N,AD,B00233,063-776-7088,0150,서해안선,000587,부안고려청자(서울)주유소,전북 부안군 주산면 서해안고속도로106
익산,"1,509원","1,669원",X,N,AD,B00148,063-432-1383,0205,완주장수선,000287,진안마이산(익산)주유소,전북 진안군 진안읍단양리 171-110
포항,"1,509원","1,669원","1,078원",Y,AD,B00149,063-432-6353,0205,완주장수선,000308,진안마이산(장수)주유소,전북 진안군 진안읍단양리 333-75
익산,X,X,X,N,AD,B00132,054-338-9301,0207,대구포항선,000260,영천(대구)주유소,경북 영천시 임고면금대리 99
익산,"1,504원","1,672원","1,029원",Y,AD,B00133,054-337-5074,0207,대구포항선,000297,청통(대구)주유소,경북 영천시 청통면우천리 산 160-4
포항,"1,504원","1,672원","1,029원",Y,AD,B00130,053-853-1082,0207,대구포항선,000298,와촌(포항)주유소,경북 경산시 와촌면강학리 산 71-1
포항,"1,508원","1,667원",X,N,AD,B00131,054-338-9135,0207,대구포항선,000259,영천(포항)주유소,경상북도 영천시 임고면 운주로 777 (영천(포항방향)주유소)금대리 103
논산,"1,504원","1,669원",X,N,AD,B00037,063-836-5272,0251,호남선,000120,여산(천안)주유소,전북 익산시 여산면호산리 210-8
논산,"1,499원","1,665원","1,039원",Y,AD,B00039,063-532-2373,0251,호남선,000124,정읍녹두장군(천안)주유소,전북 정읍시 북면하북1길 227-23
논산,"1,509원","1,669원","1,045원",Y,AD,B00043,061-362-7188,0251,호남선,000132,곡성(천안)주유소,전남 곡성군 겸면가정리 358-7
논산,"1,505원","1,665원","1,010원",Y,AD,B00076,061-393-0267,0251,호남선,000128,백양사(천안)주유소,전라남도 장성군 북일면 호남고속도로 108-1 (백양사(논산)주유소)박산리 156-4
논산,"1,509원","1,663원","1,055원",Y,AD,B00114,061-754-4454,0251,호남선,000137,주암(천안)주유소,전남 순천시 주암면고산리246-4
논산,"1,509원","1,669원",X,N,AD,B00168,063-236-2592,0251,호남선,000356,이서(천안)주유소,서울 송파구 송파동185-5
순천,"1,504원","1,669원",980원,Y,AD,B00038,063-836-5246,0251,호남선,000121,여산(순천)주유소,전북 익산시 여산면호산리(호남고속도로 191)
순천,"1,505원","1,665원","1,024원",Y,AD,B00040,063-532-0510,0251,호남선,000125,정읍녹두장군(순천)주유소,전북 정읍시 북면남산리 산20-9
순천,"1,489원","1,635원","1,069원",Y,AD,B00046,061-362-5955,0251,호남선,000133,곡성(순천)주유소,전남 곡성군 겸면가정리(호남고속도로)49-1
순천,"1,489원","1,635원","1,055원",Y,AD,B00073,061-754-4985,0251,호남선,000136,주암(순천)주유소,전남 순천시 주암면고산리 155-1
순천,"1,505원","1,665원",965원,Y,AD,B00077,061-394-5178,0251,호남선,000129,백양사(순천)주유소,전라남도 장성군 북일면박산리 68-3
순천,"1,509원","1,669원","1,024원",Y,AD,B00169,063-227-4334,0251,호남선,000357,이서(순천)주유소,서울 송파구 송파동185-5
광양,"1,505원","1,669원",X,N,AD,B00172,063-644-7300,0270,순천완주선,000363,오수(순천)주유소,전북 임실군 오수면대명리 783-16
광양,"1,504원","1,672원","1,071원",Y,AD,B00175,061-782-1737,0270,순천완주선,000366,황전(순천)주유소,전남 순천시 황전면선변리 595-7
광양,"1,509원","1,669원",X,N,AD,B00238,063-633-0377,0270,순천완주선,000596,춘향(순천)주유소,전북 남원시 수지면순천완주고속도로 49
전주,"1,505원","1,669원","1,059원",Y,AD,B00173,063-644-4800,0270,순천완주선,000362,오수(완주)주유소,전북 임실군 오수면대명리 783-16
전주,"1,499원","1,667원","1,125원",Y,AD,B00174,061-782-1701,0270,순천완주선,000367,황전(완주)주유소,전남 순천시 황전면선변리595-6번지
전주,"1,509원","1,669원",X,N,AD,B00239,063-636-2207,0270,순천완주선,000597,춘향(완주)주유소,전북 남원시 수지면순천완주고속도로 50
상주,"1,514원","1,699원","1,130원",Y,AD,B00146,054-531-1984,0300,서산영덕선,000309,화서(영덕)주유소,경북 상주시 화서면상용리 408
상주,"1,504원","1,669원","1,050원",Y,AD,B00151,041-335-0052,0300,서산영덕선,000315,예산(당진)주유소,충남 예산군 신양면서계양리 662-28
상주,"1,502원","1,668원","1,050원",Y,AD,B00153,041-854-9504,0300,서산영덕선,000325,공주(당진)주유소,충남 공주시 의당면청룡리 71-1
상주,"1,559원","1,709원",999원,Y,AD,B00201,054-862-9036,0300,서산영덕선,000497,의성(청주)주유소,경북 의성군 안계면새못안길 45-49
상주,"1,505원","1,669원",X,N,AD,B00203,054-872-5911,0300,서산영덕선,000505,청송(청주)주유소,경북 청송군 파천면중평병부길 203-92
상주,"1,523원","1,658원",X,N,AD,B00232,043-715-2823,0300,서산영덕선,000584,문의청남대(영덕)주유소,충북 청주시 상당구 문의면남계리 654번지
청원,"1,509원","1,665원","1,095원",Y,AD,B00144,043-544-6311,0300,서산영덕선,000282,속리산(청주)주유소,충북 보은군 마로면적암리(적암길) 56-18
청원,"1,504원","1,669원","1,050원",Y,AD,B00152,041-334-0081,0300,서산영덕선,000317,예산(대전)주유소,충남 예산군 신양면서계양리 672-3
청원,"1,502원","1,668원",X,N,AD,B00154,041-854-9728,0300,서산영덕선,000319,공주(대전)주유소,충남 공주시 장기면송선리 315-5
청원,"1,559원","1,709원",999원,Y,AD,B00202,054-862-9254,0300,서산영덕선,000498,의성(영덕)주유소,경북 의성군 안계면새못안길 45-47
청원,X,X,X,N,AD,B00204,054-872-9102,0300,서산영덕선,000506,청송(영덕)주유소,경북 청송군 파천면중평병부길 203-115
청원,"1,514원","1,679원",X,N,AD,B00231,043-223-2822,0300,서산영덕선,000583,문의청남대(청주)주유소,충북 청주시 상당구 문의면남계리 산59-4번지
통영,"1,509원","1,659원",999원,Y,AD,B00072,055-973-8902,0351,통영대전선,000168,산청(통영)주유소,경남 산청군 단성면방목리 산68-7
통영,"1,499원","1,659원","1,107원",Y,AD,B00083,041-751-2895,0351,통영대전선,000156,금산인삼랜드(통영)주유소,충남 금산군 군북면외부리 718
통영,"1,514원","1,674원","1,069원",Y,AD,B00094,063-353-5100,0351,통영대전선,000160,덕유산(통영)주유소,전라북도 장수군 계북면양악리 394-2
통영,"1,497원","1,667원",959원,Y,AD,B00113,055-963-8762,0351,통영대전선,000164,함양(통영)주유소,경남 함양군 지곡면효산길23-31
통영,"1,494원","1,654원",978원,Y,AD,B00141,055-674-2062,0351,통영대전선,000290,고성공룡나라(통영)주유소,경남 고성군 대가면송계리 477-7번지
하남,"1,509원","1,659원",999원,Y,AD,B00071,055-973-6138,0351,통영대전선,000167,산청(대전)주유소,경남 산청군 단성면방목리 344-21
하남,"1,494원","1,549원",X,N,AD,B00082,041-754-9200,0351,통영대전선,000155,금산인삼랜드(대전)주유소,충남 금산군 군북면외부리 721-3
하남,"1,514원","1,674원","1,069원",Y,AD,B00093,063-353-4200,0351,통영대전선,000159,덕유산(대전)주유소,전라북도 무주군 안성면통영대전고속도로 148
하남,"1,497원","1,667원",959원,Y,AD,B00110,055-964-1041,0351,통영대전선,000163,함양(대전)주유소,경남 함양군 지곡면보산리 278-6
하남,"1,494원","1,654원",998원,Y,AD,B00140,055-674-8062,0351,통영대전선,000291,고성공룡나라(대전)주유소,경남 고성군 대가면신전리 85번지
통영,"1,540원","1,698원","1,021원",Y,AD,B00004,031-793-5800,0352,중부선,000140,하남드림주유소,경기 하남시 천현동181-20
통영,"1,500원","1,668원",X,N,AD,B00029,043-217-1443,0352,중부선,000152,오창(남이)주유소,충청북도 청주시 청원구 오창읍 중부고속도로 19 (오창휴게소 주유소 통영기점)화산리 395-2
통영,"1,505원","1,669원","1,014원",Y,AD,B00031,043-878-5039,0352,중부선,000148,음성(남이)주유소,충청북도 음성군 삼성면 중부고속도로 51 (음성휴게소 하)용성리 산39-3
통영,"1,506원","1,678원","1,025원",Y,AD,B00120,031-637-0401,0352,중부선,000143,이천(남이)주유소,경기 이천시 마장면 목리142
통영,"1,797원","1,897원","1,022원",Y,SK,B00188,031-638-7869,0352,중부선,000412,마장복합(하)주유소,경기 이천시 마장면목리 산 13-32
하남,"1,498원","1,657원","1,016원",Y,AD,B00005,031-637-0953,0352,중부선,000142,이천쌀(하남)주유소,경기 이천시 신둔면용면리(서이천로853번길) 346-149
하남,"1,504원","1,674원",X,N,AD,B00028,043-217-6385,0352,중부선,000151,오창(하남)주유소,충북 청주시 청원구 오창읍중부고속도로 22
하남,"1,501원","1,647원","1,016원",Y,AD,B00030,043-877-1086,0352,중부선,000147,음성(하남)주유소,충북 음성군 삼성면양덕리 467
하남,"1,797원","1,897원",X,N,SK,B00187,031-638-7869,0352,중부선,000411,마장복합(상)주유소,경기 이천시 마장면목리 산 13-32
제천,"1,514원","1,674원","1,060원",Y,AD,B00159,031-674-8644,0400,평택제천선,000334,안성맞춤(제천)주유소,경기 안성시 서운면신능리 51-11
제천,"1,500원","1,668원",999원,Y,AD,B00185,043-881-8122,0400,평택제천선,000416,금왕(제천)주유소,충북 음성군 금왕읍용계리
제천,"1,513원","1,668원","1,039원",Y,AD,B00194,043-844-2988,0400,평택제천선,000421,천등산(제천)주유소,충북 충주시 산척면평택제천고속도로 106
평택,"1,505원","1,671원","1,069원",Y,AD,B00160,031-672-9622,0400,평택제천선,000332,안성맞춤(평택)주유소,경기 안성시 서운면신능리 51-16 외 23필지
평택,"1,500원","1,668원",999원,Y,AD,B00184,043-882-8030,0400,평택제천선,000415,금왕(평택)주유소,충북 음성군 금왕읍용계리 193-3
평택,"1,513원","1,668원",X,N,AD,B00193,043-844-2915,0400,평택제천선,000422,천등산(평택)주유소,충북 충주시 산척면평택제천고속도로 109
마산,"1,509원","1,659원","1,069원",Y,AD,B00070,055-521-3284,0450,중부내륙선,000178,영산(창원)주유소,경남 창녕군 영산면신제리 장척호수길 56-110
마산,"1,519원","1,681원","1,079원",Y,AD,B00101,054-482-6014,0450,중부내륙선,000175,선산(양평)주유소,경북 구미시 옥성면중부내륙고속도로 128-1
마산,"1,503원","1,674원","1,068원",Y,AD,B00108,043-857-7371,0450,중부내륙선,000172,충주(창원)주유소,충북 충주시 중앙탑면 중부내륙고속도로231-1
마산,"1,501원","1,647원","1,068원",Y,AD,B00135,043-832-7970,0450,중부내륙선,000304,괴산(창원)주유소,충북 괴산군 장연면오가리 104번지
마산,"1,499원","1,659원","1,065원",Y,AD,B00136,054-554-1659,0450,중부내륙선,000276,문경(양평)주유소,경북 문경시 유곡동458
마산,"1,497원","1,668원","1,068원",Y,AD,B00145,054-932-0031,0450,중부내륙선,000284,남성주참외(창원)주유소,경북 성주군 선남면명포리 880-5번지
마산,"1,535원","1,719원","1,039원",Y,AD,B00167,031-885-9764,0450,중부내륙선,000352,서여주(양평)주유소,경기 여주시 세종대왕면중부내륙고속도로 272
목포,"1,571원","1,707원",X,N,AD,B00218,031-296-1509,0450,중부내륙선,000546,성주(창원)주유소,경상북도 성주군 초전면중부내륙고속도로 97
시흥,"1,571원","1,707원",X,N,AD,B00217,031-295-1509,0450,중부내륙선,000545,성주(양평)주유소,경상북도 성주군 초전면중부내륙고속도로 98
양평,"1,495원","1,669원","1,039원",Y,AD,B00061,055-587-1420,0450,중부내륙선,000180,칠서(양평)주유소,경남 함안군 칠서면계내리 29
양평,"1,519원","1,681원","1,079원",Y,AD,B00102,054-482-6034,0450,중부내륙선,000176,선산(창원)주유소,경북 구미시 옥성면대원리 85-1
양평,"1,500원","1,668원","1,060원",Y,AD,B00107,043-857-4884,0450,중부내륙선,000171,충주(양평)주유소,충북 충주시 가금면 용전리 380-4
양평,"1,506원","1,669원","1,071원",Y,AD,B00134,043-832-6598,0450,중부내륙선,000296,괴산(양평)주유소,충북 괴산군 장연면오가리 293-2
양평,"1,504원","1,669원","1,055원",Y,AD,B00137,054-554-1614,0450,중부내륙선,000275,문경(창원)주유소,경북 문경시 유곡동418-1
양평,"1,497원","1,668원","1,068원",Y,AD,B00147,054-931-5149,0450,중부내륙선,000283,남성주참외(양평)주유소,경북 성주군 용암면본리 428
양평,"1,535원","1,719원","1,039원",Y,AD,B00166,031-884-9718,0450,중부내륙선,000353,서여주(창원)주유소,경기 여주시 세종대왕면중부내륙고속도로 271
강릉,"1,506원","1,678원","1,025원",Y,AD,B00007,031-332-3221,0500,영동선,000209,용인(강릉)주유소,경기 용인시 양지면주북리 958-3
강릉,"1,502원","1,665원","1,047원",Y,AD,B00008,031-881-6132,0500,영동선,000206,여주(강릉)주유소,경기도 여주시 가남읍 여주남로 722 여주(강릉방향)주유소
강릉,"1,503원","1,668원","1,016원",Y,AD,B00016,033-342-7357,0500,영동선,000196,횡성(강릉)주유소,강원도 횡성군 안흥면소사리 1512-4
강릉,"1,502원","1,665원","1,047원",Y,AD,B00017,033-734-0764,0500,영동선,000202,문막(강릉)주유소,강원 원주시 문막읍동화리 116번지
강릉,"1,507원","1,667원",X,N,AD,B00079,033-334-5108,0500,영동선,000187,평창(강릉)주유소,강원 평창군 용평면이목정리 778-2
강릉,"1,499원","1,688원","1,058원",Y,AD,B00088,033-648-9559,0500,영동선,000183,강릉(강릉)주유소,강원도 강릉시 성산면보광리 산273
강릉,"1,783원","1,892원","1,027원",Y,SK,B00171,031-635-8858,0500,영동선,000359,덕평(강릉)주유소,경기 이천시 마장면각평리 산23
강릉,"1,510원","1,677원","1,057원",Y,SK,B00236,031-403-5158,0500,영동선,000591,안산(강릉)주유소,경기 안산시 단원구 영동고속도로15(선부동)
인천,"1,506원","1,678원","1,025원",Y,AD,B00006,031-339-2262,0500,영동선,000210,용인(인천)주유소,경기 용인시 고림동88-1
인천,"1,502원","1,674원",X,N,AD,B00009,033-734-0767,0500,영동선,000200,문막(인천)주유소,강원 원주시 문막읍포진리 938-7
인천,"1,503원","1,668원","1,016원",Y,AD,B00013,031-881-3665,0500,영동선,000205,여주(인천)주유소,경기 여주군 가남면본두리 677-1
인천,"1,502원","1,665원","1,016원",Y,AD,B00015,033-342-5880,0500,영동선,000197,횡성(인천)주유소,강원도 횡성군 안흥면 영동고속도로 153-1 (소사주유소)영동고속도로 153-1
인천,"1,518원","1,688원",988원,Y,AD,B00075,033-332-5107,0500,영동선,000189,평창(인천)주유소,강원도 평창군 용평면이목정리 476-4
인천,"1,499원","1,688원","1,058원",Y,AD,B00087,033-647-7112,0500,영동선,000184,강릉(인천)주유소,강원 강릉시 성산면성연로 519-40
인천,"1,783원","1,892원","1,027원",Y,SK,B00170,031-635-8858,0500,영동선,000354,덕평(인천)주유소,경기 이천시 마장면각평리 산 23
인천,"1,515원","1,682원","1,057원",Y,SK,B00235,031-402-5157,0500,영동선,000590,안산(인천)주유소,경기 안산시 단원구 영동고속도로15(선부동)
부산,"1,510원","1,697원",977원,Y,AD,B00054,054-853-9758,0550,중앙선,000227,안동(부산)주유소,경북 안동시 풍산읍계평리 137
부산,"1,506원","1,668원",977원,Y,AD,B00056,054-383-6116,0550,중앙선,000231,군위(부산)주유소,대구광역시 군위군 군위읍오곡리 산67-5
부산,"1,535원","1,695원","1,032원",Y,AD,B00089,033-763-8603,0550,중앙선,000219,치악(부산)주유소,강원도 원주시 신림면금창리 550
부산,"1,497원","1,657원","1,016원",Y,AD,B00091,043-423-5406,0550,중앙선,000224,단양팔경(부산)주유소,충청북도 단양군 적성면기동리 산74-1
부산,"1,502원","1,657원","1,068원",Y,AD,B00112,033-731-0736,0550,중앙선,000216,원주(부산)주유소,강원도 원주시 호저면마근거리길 120
부산,"1,627원","1,799원","1,039원",Y,AD,B00115,033-264-0391,0550,중앙선,000212,춘천(부산)주유소,강원 춘천시 동내면 사암리산123-2
