bestfoodyn,etc,foodCost,foodMaterial,foodNm,lsttmAltrDttm,premiumyn,recommendyn,routeCd,routeNm,seasonMenu,seq,stdRestCd,stdRestNm,svarAddr
N,,2800,,소미미단팥빵,2024-05-07,N,N,10,경부선,4,8661,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,"매운맛, 야채맛, 오징어맛",4500,,삼진어묵,2024-05-07,N,N,10,경부선,4,8662,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10500,,옛날돈까스,2024-05-07,N,N,10,경부선,4,10383,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
Y,,8500,,말죽거리소고기국밥,2024-05-07,N,Y,10,경부선,4,10384,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,맛남愛함박,2024-05-07,Y,N,10,경부선,4,10385,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,7000,,바지락미역국,2024-05-07,N,Y,10,경부선,4,10386,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,12000,,말죽거리한우곰탕,2024-05-07,Y,N,10,경부선,4,10387,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,11000,,매운돈까스,2024-05-07,N,N,10,경부선,4,10391,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,7000,,잔치국수,2024-05-07,N,N,10,경부선,4,10392,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,돈비국수,2024-05-07,N,N,10,경부선,4,10393,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,8000,,국물비빔국수,2024-05-07,N,N,10,경부선,4,10394,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,9000,,돈잔국수,2024-05-07,N,N,10,경부선,4,10395,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,돈모밀국수,2024-05-07,N,N,10,경부선,4,10396,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,8000,,냉모밀,2024-05-07,N,N,10,경부선,4,10397,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,12000,,소고기짬뽕,2024-05-07,N,N,10,경부선,4,10398,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,9000,,명인돼지고기김치찌개,2024-05-07,N,Y,10,경부선,4,12531,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,9000,,돌솥비빔밥,2024-05-07,N,N,10,경부선,4,12532,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6500,,농심김치우동,2024-05-07,N,N,10,경부선,4,12533,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,꼬막비빔밥,2024-05-07,N,N,10,경부선,4,12607,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6500,,해물통통라면,2024-05-07,N,N,10,경부선,4,12608,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6000,,대파송송라면,2024-05-07,N,N,10,경부선,4,12609,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,5000,,토스타 토스트,2024-05-07,N,N,10,경부선,4,12610,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6800,,시그니쳐 토스트,2024-05-07,N,N,10,경부선,4,12611,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,8000,,수제 버거,2024-05-07,N,N,10,경부선,4,12612,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,5500,,옛날떡볶이,2024-05-07,N,N,10,경부선,4,12666,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6500,,시래기떡볶이,2024-05-07,N,N,10,경부선,4,12667,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,5500,,찹쌀순대,2024-05-07,N,N,10,경부선,4,12668,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,4000,,야채뚱김밥2줄,2024-05-07,N,N,10,경부선,4,12669,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,5000,,참치땡초김밥2줄,2024-05-07,N,N,10,경부선,4,12670,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,4000,,테이크아웃 제육컵밥,2024-05-07,N,N,10,경부선,4,12691,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6500,,농심자장면,2024-05-07,N,N,10,경부선,4,12692,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,13500,,치즈돈가스,2024-05-07,N,N,10,경부선,4,12693,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,6500,,순대강정,2024-05-07,N,N,10,경부선,4,12694,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,떡볶이세트,2024-05-07,N,N,10,경부선,4,12695,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,5000,,소세지치즈2줄김밥,2024-05-07,N,N,10,경부선,4,12696,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,4500,,수제왕김말이튀김,2024-05-07,N,N,10,경부선,4,12697,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,4500,,맥반석쥐포,2024-05-07,N,N,10,경부선,4,12725,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,5000,,매직핫도그,2024-05-07,N,N,10,경부선,4,12726,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,4500,,소떡소떡(L),2024-05-07,N,N,10,경부선,4,12727,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,3500,,(알뜰)통감자튀김구이,2024-05-07,N,N,10,경부선,4,12728,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,3500,,(알뜰)바삭어포,2024-05-07,N,N,10,경부선,4,12729,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,3500,,(알뜰)옛날핫도그,2024-05-07,N,N,10,경부선,4,12730,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,3500,,(알뜰)케네디소세지,2024-05-07,N,N,10,경부선,4,12731,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,3500,,꼬치어묵2개,2024-05-07,N,N,10,경부선,4,12732,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,1500,,못난이꽈배기,2024-05-07,N,N,10,경부선,4,12733,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,2000,,유자도넛,2024-05-07,N,N,10,경부선,4,12734,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,2000,,팥도넛,2024-05-07,N,N,10,경부선,4,12735,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,2800,,아기궁뎅이,2024-05-07,N,N,10,경부선,4,12736,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,2800,,생크림단팥빵,2024-05-07,N,N,10,경부선,4,12737,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,2800,,단팥소보로빵,2024-05-07,N,N,10,경부선,4,12738,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,,10000,,병천얼큰순대국,2024-05-07,N,N,10,경부선,4,12945,1,서울만남(부산)휴게소,서울 서초구 원지동10-16
N,매운국물과 생면이 만나 부드러운 맛과 해산물로 시원함까지 갖춘 추천음식,7000,,가락짬뽕,2024-05-07,N,Y,10,경부선,4,261,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,"판매량 1위에 베스트셀러 가락우동, 우동과 꼬치어묵의 만남으로 남녀노소 누구나 부담없이 드실 수 있는 맛",7000,,부산어묵우동,2024-05-07,N,Y,10,경부선,4,262,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,얼큰한 국물과 생면을 사용한 쫄깃한 식감의 조화,6000,"쑥갓, 콩나물, 파",속풀이가락생라면,2024-05-07,N,N,10,경부선,4,1109,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,"서민들의 배고픔을 묵묵히 채워온 국
소고기가 들어가 있어 시원하고 깊은 맛이 일품이며, 뒷맛이 깔끔한 것이 특징입니다.",6500,,대구따로국밥(단품),2024-05-07,Y,Y,10,경부선,4,6057,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,고기와 야채가 조화를 이루고 달지 않고 자장 맛이 진하게 나는것이 특징입니다.,6500,,가락자장면,2024-05-07,N,N,10,경부선,4,7204,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
Y,"물에 불려 부드러운 북어살에 사골 국물, 콩나물, 두부 등을 넣고 끓여 담백함과 시원함이 장점입니다. 
단백질, 아미노산이 함유된 북어와 아스파라긴산이 풍부한 콩나물이 주재료이어 남녀노소 누구나 안심하고 먹을 수 있는 메뉴입니다.",9000,"주재료 : 북어, 두부, 콩나물, 사골육수 등",사골북어해장국정식,2024-05-07,N,Y,10,경부선,4,7464,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
Y,"· 용인의 깨끗한 물과 맑은 공기, 긴 일조량, 기름진 옥토에서 정성스레 가꾼 우수한 품질의 백옥쌀과 수분이 많으며, 아삭아삭 한 맛이 일품인 남사면 순지오이, 저칼로리면서 비타민, 미네랄 등을 포함하고 항암효과가 있는 원삼 느타리버섯을 활용한 지역 특산품 메뉴입니다.",12000,"용인 백옥쌀, 용인 순지 오이지, 우양지, 용인 원삼 느타리버섯 등",용인특산품영양밥정식,2024-05-07,Y,Y,10,경부선,4,9244,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,"백년가게 인증업체 밀키트제품
남원과 지리산의 농산물을 사용하여 전통방식으로 조리하는 추어탕",12000,"미꾸라지, 들깨, 열무 등",새집추어탕(백년가게),2024-05-07,Y,N,10,경부선,4,10113,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,"백년가게 인증업체 밀키트제품
돼지사골을 푹 고아서 우려낸 국물에 오소리감투와 순대를 말아내는 순대국밥",10000,"돈골육수,돼지머리,찹쌀 등",사골순대국(백년가게),2024-05-07,Y,N,10,경부선,4,10114,3,죽전(서울)휴게소,경기 용인시 죽전2동866-2
N,코바코 수제등심돈가스 입니다,11000,,수제등심돈가스,2024-05-07,N,Y,10,경부선,4,4993,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 유부우동 입니다,6500,,유부우동,2024-05-07,N,Y,10,경부선,4,4994,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,실속상품 황태의 시원한 국물이 일품인 황태해장국 입니다.,7000,,황태해장국,2024-05-07,N,N,10,경부선,4,6046,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
Y,진한국물과 얼큰한 맛이 일품인 소고기국밥,9000,소고기,소고기국밥,2024-05-07,N,N,10,경부선,4,6068,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,국내산 우렁이 듬뿍 첨가된 담백한 된장찌개 입니다.,8500,,우렁된장찌개,2024-05-07,N,N,10,경부선,4,6070,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,한끼 식사로 든든한 제육볶음이 일품 입니다,9500,돈육,뚝배기제육,2024-05-07,N,N,10,경부선,4,6071,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,11500,,치즈돈가스,2024-05-07,N,N,10,경부선,4,6318,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,10000,,생선가스,2024-05-07,N,N,10,경부선,4,6319,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,8000,,왕새우튀김우동,2024-05-07,N,N,10,경부선,4,6320,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,12000,,돈가스우동정식,2024-05-07,N,N,10,경부선,4,6321,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,10000,,옛날흑돼지돈가스,2024-05-07,N,Y,10,경부선,4,6322,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,8000,,김치냄비우동,2024-05-07,N,N,10,경부선,4,6323,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,9000,,새우볶음밥,2024-05-07,N,N,10,경부선,4,6324,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,9000,,돌솥알밥,2024-05-07,N,N,10,경부선,4,6325,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,10000,,표고버섯덮밥,2024-05-07,N,N,10,경부선,4,6326,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,12500,,왕돈가스,2024-05-07,N,N,10,경부선,4,6327,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,11000,,알밥우동정식,2024-05-07,N,N,10,경부선,4,6328,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,코바코 전문식당 메뉴입니다.,7500,,꼬치어묵우동,2024-05-07,N,N,10,경부선,4,6329,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,얼큰하게 끓여 맛이 일품인 김치찌개 입니다.,8500,,김치찌개,2024-05-07,N,Y,10,경부선,4,7205,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,각종 야채가 함께 어우러져 든든한 식사를 제공합니다.,9000,,전주비빔밥,2024-05-07,N,Y,10,경부선,4,7206,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,실속 상품으로 부담 없는 가격으로 제공 드리는 든든한 한끼 입니다.,7000,,콩나물국밥,2024-05-07,N,N,10,경부선,4,7207,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,원기회복에 일품인 추어탕입니다.,11000,미꾸라지,추어탕,2024-05-07,Y,N,10,경부선,4,10110,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,인천 지역 맛집 풍전식당을 휴게소에서 똑같은 재료와 맛으로 판매하고 있습니다.,12000,,풍전육개장,2024-05-07,Y,N,10,경부선,4,12460,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,인천 지역 맛집 풍전식당을 휴게소에서 똑같은 재료와 맛으로 판매하고 있습니다.,12000,,풍전해장국,2024-05-07,Y,N,10,경부선,4,12461,5,기흥(부산)휴게소,경기 용인시 기흥구공세로 173 기흥휴게소
N,안성자연마춤한우곰탕은 엄선된 한우고기와 사골뼈를 사용하여 위생적인 시설에서 정성껏 우려낸 깔끔하고 담백한 한우 사골 곰탕입니다.,12000,,자연마춤한우곰탕,2024-05-07,N,Y,10,경부선,4,239,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
Y,"* 안성시 인증 로컬푸드 ‘안성자연마춤’ 브랜드의 냉장한우와 사골뼈, 안성마춤쌀을 사용하여 만든 고품격 한우국밥.

* 안성8미로 선정된 향토대표음식.
  [안성8미: 안성한우,안성국밥,청국장,민물어죽,건강묵밥,안성쌀밥정식,안성우탕,매운탕(민물,해물,버섯)]",10000,"*. 주요재료
안성한우소고기(25g),안성한우사골(300ml)
대파(20g),배추우거지(60g),무(10g),콩나물(30g), 양념(10g)",자연마춤한우국밥,2024-05-07,N,Y,10,경부선,4,286,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,생빵가루를 입혀 더욱 바삭하고 맛있는 대표 돈가스(표준레시피 사용),10000,,등심돈가스,2024-05-07,N,N,10,경부선,4,288,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,유부의 담백한 맛이 우동면과 조화를 이룬 메뉴,6000,,유부우동,2024-05-07,N,N,10,경부선,4,309,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,.,9500,,정통 순두부찌개,2024-05-07,N,N,10,경부선,4,317,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,흑돼지 제육비빔밥,2024-05-07,N,N,10,경부선,4,322,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,9500,,옛날 돼지고기 김치찌개,2024-05-07,N,N,10,경부선,4,323,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,12000,,카레카츠,2024-05-07,N,N,10,경부선,4,6004,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,6500,,어묵우동,2024-05-07,N,N,10,경부선,4,6009,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,5500,,떡만두라면,2024-05-07,N,N,10,경부선,4,6018,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,4000,,ex라면,2024-05-07,N,N,10,경부선,4,6020,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10500,,떡만두라면 + 충무김밥,2024-05-07,N,N,10,경부선,4,6021,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,11000,,유부우동 + 충무김밥,2024-05-07,N,N,10,경부선,4,6022,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,12000,,한우소머리국밥,2024-05-07,N,N,10,경부선,4,6023,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,황태해장국,2024-05-07,N,Y,10,경부선,4,6359,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,불고기 비빔밥,2024-05-07,N,N,10,경부선,4,6361,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,장궁순대국,2024-05-07,N,N,10,경부선,4,10079,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,12000,,얼큰순대국,2024-05-07,N,N,10,경부선,4,10080,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,12000,,영양순대국,2024-05-07,N,N,10,경부선,4,10081,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,8500,,차돌 된장찌개,2024-05-07,N,N,10,경부선,4,10082,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,7500,,어만두우동,2024-05-07,N,N,10,경부선,4,10085,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,6500,,김치어묵우동,2024-05-07,N,N,10,경부선,4,10086,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,6500,,잔치국수,2024-05-07,N,N,10,경부선,4,10087,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,5500,,김치라면,2024-05-07,N,N,10,경부선,4,10088,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,6500,,해물해장라면,2024-05-07,N,N,10,경부선,4,10089,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,13000,,치즈카츠,2024-05-07,N,N,10,경부선,4,10090,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,11000,,유미카츠,2024-05-07,N,N,10,경부선,4,10091,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,13000,,유미카츠+우동,2024-05-07,N,Y,10,경부선,4,10092,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,14000,,카레카츠+우동,2024-05-07,N,N,10,경부선,4,10093,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,8500,,왕짜장면,2024-05-07,N,N,10,경부선,4,10094,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,왕짬뽕,2024-05-07,N,N,10,경부선,4,10095,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,왕짬뽕밥,2024-05-07,N,N,10,경부선,4,10096,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,12000,,탕수육,2024-05-07,N,N,10,경부선,4,10097,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,볶음밥,2024-05-07,N,N,10,경부선,4,10098,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,볶음짜장,2024-05-07,N,N,10,경부선,4,10099,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,유슬덮밥,2024-05-07,N,N,10,경부선,4,10100,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,13900,,떡볶카츠,2024-05-07,N,N,10,경부선,4,12626,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,15900,,떡볶카츠+우동,2024-05-07,N,N,10,경부선,4,12627,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,15000,,치즈카츠+우동,2024-05-07,N,N,10,경부선,4,12628,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,13000,,짜장 탕수육 세트,2024-05-07,N,Y,10,경부선,4,12629,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,14000,,짬뽕 탕수육 세트,2024-05-07,N,N,10,경부선,4,12630,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,5500,,충무김밥,2024-05-07,N,N,10,경부선,4,12631,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,11000,,특순대국,2024-05-07,N,N,10,경부선,4,12632,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,우거지 육개장,2024-05-07,N,N,10,경부선,4,12633,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,11000,,해물순두부찌개,2024-05-07,N,N,10,경부선,4,12634,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,10000,,의정부식 부대찌개,2024-05-07,N,N,10,경부선,4,12635,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
N,,9000,,우거지 청국장,2024-05-07,N,N,10,경부선,4,12636,7,안성(서울)휴게소,경기 안성시 원곡면산하리(경부고속도로 372)
Y,24시간 우려낸 사골국물에 다양한 야채와 갖은 양념으로 끊여내어 옛 장터의 맛을 재현한 안성휴게소 대표메뉴,9500,"밥230g,소고기(호주산)30g대파10g,양파10g,무우20g,콩나물10g,된장10g,고추가루10g김치30g,오복채20g오이무침20g",안성국밥,2024-05-07,N,Y,10,경부선,4,768,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
Y,가마솥에 24시간 이상 끊여낸 사골에 푹 삶아진 암소머리가 어우러진 깊고 풍부한 맛의 소머리국밥으로 특제 소스와 다양한 반찬과 함께 후식으로 계절과일이 제공됩니다.,13000,"공기밥200g(흰쌀밥193g,흑미밥7g),사골국물450g,소머리110g,대파25g(2.6%),소스31g(식초8g,대파3g,마늘1g,진간장19g),김치50g,깍두기50g,어묵볶음40g(어묵25.7g,양파6g,당근3g,대파1.3g,들기름0.9g,식용유0.4g,간장0.9g,물엿0.9g,다시다0.4g,마늘0.4g,참깨0.1g)",한우소머리국밥,2024-05-07,Y,Y,10,경부선,4,771,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,9000,,안성곰탕,2024-05-07,N,N,10,경부선,4,5972,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,11000,,안성한우육개장,2024-05-07,Y,Y,10,경부선,4,5974,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,8500,,차돌된장찌개,2024-05-07,N,N,10,경부선,4,5979,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,8500,,묵은지김치찌개,2024-05-07,N,Y,10,경부선,4,5980,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,9000,,해물순두부찌개,2024-05-07,N,N,10,경부선,4,5981,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,7000,,소고기무국,2024-05-07,N,N,10,경부선,4,5985,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,10000,,둥심돈가스,2024-05-07,N,N,10,경부선,4,5986,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,12000,,치즈돈가스,2024-05-07,N,N,10,경부선,4,5987,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,6000,,짬뽕생라면,2024-05-07,N,N,10,경부선,4,5990,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,5500,,자장면,2024-05-07,N,N,10,경부선,4,5991,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,6000,,유부우동,2024-05-07,N,N,10,경부선,4,5992,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,6500,,어묵우동,2024-05-07,N,N,10,경부선,4,5993,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
N,,7000,,새우튀김우동,2024-05-07,N,N,10,경부선,4,5994,9,안성(부산)휴게소,경기 안성시 원곡면경부고속도로 365
